order_id,ship_date,buyer_region,product_category,order_value_usd,buyer_tenure_yrs,new_buyer,payment_terms_days,route_risk_flag,rep_confidence_score,loss_recorded,loss_type,loss_amount_usd,days_to_loss_recorded,notes
173,2025-05-12,EU-West,beauty,7048.06,2.2,0,0,medium,0.29,1,freight_overrun,306.66,29.0,
1257,2025-06-05,EU-North,beauty,15083.05,1.7,0,90,medium,0.42,0,none,0.0,,
1398,2024-08-16,EU-South,beauty,6461.57,0.9,1,30,medium,0.43,0,none,0.0,,
112,2024-07-19,EU-West,home_appliance,19598.12,6.0,0,0,high,0.64,0,none,0.0,,
1193,2025-04-11,EU-South,cleaning,4724.96,0.4,1,30,low,0.34,0,none,0.0,,
1068,2025-03-31,EU-North,beauty,1575.61,2.1,0,30,low,0.83,0,none,0.0,,
35,2024-01-17,EU-East,home_appliance,8341.26,2.7,0,0,high,0.98,0,none,0.0,,
1071,2025-01-15,EU-South,beauty,9235.37,4.6,0,30,low,0.69,0,none,0.0,,
1032,2025-06-15,EU-North,cleaning,16735.65,2.9,0,30,high,0.63,0,none,0.0,,
961,2025-04-06,EU-East,pet_care,4705.88,6.0,0,90,low,0.55,0,none,0.0,,
531,2025-05-29,EU-North,cleaning,7949.55,4.0,0,30,low,0.62,0,none,0.0,,
1188,2024-11-06,EU-South,home_appliance,18432.12,3.8,0,60,low,0.7,0,none,0.0,,
514,2025-05-13,EU-West,beauty,9592.02,3.5,0,0,high,0.74,0,none,0.0,,
111,2024-08-23,EU-East,home_appliance,17160.05,1.3,0,0,medium,0.59,1,freight_overrun,,32.0,extra freight billed
1355,2024-08-15,EU-South,pet_care,5792.11,5.6,0,60,high,0.4,0,none,0.0,,
263,2024-07-11,EU-West,cleaning,23725.74,2.8,0,60,high,0.26,0,none,0.0,,
622,2024-04-23,EU-East,home_appliance,11113.64,10.6,0,60,low,0.44,0,none,0.0,,
502,2024-02-04,EU-South,home_appliance,4419.95,4.1,0,60,low,0.5,1,dispute,1715.23,46.0,quality complaint raised
362,2025-01-20,EU-West,home_appliance,14971.81,6.2,0,0,medium,0.4,0,none,0.0,,
1323,2024-11-15,EU-West,beauty,11748.23,1.1,0,0,low,0.41,0,none,0.0,,
507,2025-01-21,EU-West,beauty,13899.19,2.0,0,60,medium,0.48,0,none,0.0,,
1238,2024-10-28,EU-East,home_appliance,12176.59,3.0,0,30,medium,0.69,1,freight_overrun,238.99,164.0,container reweigh cost
1239,2024-04-16,EU-West,pet_care,12319.01,5.2,0,0,high,0.57,1,freight_overrun,510.82,56.0,extra freight billed
398,2024-09-14,EU-West,home_appliance,4503.23,2.5,0,90,low,0.45,0,none,0.0,,
16,2024-07-28,EU-West,cleaning,10718.35,1.3,0,30,low,0.58,0,none,0.0,,
1080,2024-10-11,EU-West,pet_care,11252.43,4.1,0,30,medium,0.45,1,return,258.13,110.0,
1276,2024-08-05,EU-West,beauty,33056.75,2.7,0,0,medium,0.81,0,none,0.0,,
142,2024-02-08,EU-East,home_appliance,13062.31,7.7,0,30,low,0.65,0,none,0.0,,
1317,2024-05-20,EU-East,beauty,14771.68,10.9,0,30,low,0.61,0,none,0.0,,
753,2025-03-02,EU-West,cleaning,4235.86,4.5,0,0,low,0.45,0,none,0.0,,
494,2025-02-22,EU-West,home_appliance,28478.64,3.4,0,30,low,0.54,0,none,0.0,,
751,2025-04-21,EU-West,cleaning,10537.09,5.4,0,60,low,0.41,0,none,0.0,,
1049,2024-07-22,EU-South,beauty,7859.09,3.4,0,0,medium,0.71,0,none,0.0,,
789,2024-08-15,EU-North,home_appliance,12955.9,2.0,0,0,high,0.29,0,none,0.0,,
641,2025-03-28,EU-North,home_appliance,5036.62,1.0,0,60,low,0.61,0,none,0.0,,
390,2024-07-19,EU-South,home_appliance,13213.89,12.3,0,60,low,0.47,0,none,0.0,,buyer queried ETA
669,2025-06-14,EU-West,home_appliance,16264.88,5.2,0,60,low,0.59,0,none,0.0,,
1160,2024-02-27,EU-North,home_appliance,34669.96,2.3,0,60,high,0.45,0,none,0.0,,
661,2024-03-01,EU-West,pet_care,2695.21,5.6,0,60,low,0.48,0,none,0.0,,
901,2025-02-16,EU-East,pet_care,11685.88,16.4,0,30,medium,0.51,0,none,0.0,,
1319,2024-10-19,EU-North,home_appliance,18143.58,4.9,0,0,low,0.62,0,none,0.0,,
752,2025-01-16,EU-West,home_appliance,8382.64,2.2,0,30,high,0.87,1,freight_overrun,591.4,70.0,
650,2025-03-02,EU-West,home_appliance,6971.37,6.4,0,30,low,0.48,0,none,0.0,,
562,2025-05-29,EU-West,beauty,11004.71,2.8,0,90,low,0.45,0,none,0.0,,
433,2024-10-17,,beauty,20846.61,0.7,1,30,low,0.22,0,none,0.0,,
1231,2024-02-10,EU-West,home_appliance,6421.21,5.8,0,60,medium,0.59,0,none,0.0,,
841,2024-09-28,EU-West,home_appliance,14622.3,5.5,0,90,low,0.36,0,none,0.0,,
620,2024-10-02,EU-West,beauty,6856.21,2.6,0,30,low,0.56,0,none,0.0,,
281,2025-06-07,EU-West,cleaning,12900.84,1.9,0,0,medium,0.22,0,none,0.0,,
253,2024-04-03,EU-East,home_appliance,15498.68,1.3,0,60,low,0.66,0,none,0.0,,
721,2024-11-18,EU-East,home_appliance,8438.54,4.6,0,0,low,0.83,0,none,0.0,,
947,2025-06-20,EU-North,pet_care,4745.16,3.1,0,30,low,0.65,0,none,0.0,,
830,2025-02-26,EU-West,cleaning,4301.67,2.7,0,0,medium,0.47,0,none,0.0,,
636,2024-02-16,EU-West,cleaning,6576.64,4.1,0,60,low,0.34,0,none,0.0,,
759,2025-04-21,EU-West,beauty,19978.93,4.4,0,0,high,0.64,0,none,0.0,,
373,2025-04-26,EU-West,cleaning,11667.75,12.6,0,90,high,0.2,0,none,0.0,,
180,2025-01-22,EU-North,pet_care,35655.83,1.5,0,30,low,0.56,0,none,0.0,,
1105,2024-07-08,EU-West,home_appliance,12176.01,4.4,0,30,low,0.68,0,none,0.0,,
119,2025-06-19,EU-East,home_appliance,9483.3,0.7,1,30,high,0.52,0,none,0.0,,
1348,2024-07-11,EU-West,home_appliance,9761.19,2.4,0,90,medium,0.47,0,none,0.0,,
448,2025-01-09,EU-North,cleaning,3798.8,6.2,0,30,medium,0.72,0,none,0.0,,
52,2024-09-21,EU-West,cleaning,7225.43,3.1,0,30,low,0.52,0,none,0.0,,n/a
849,2024-09-07,EU-West,beauty,4834.08,4.6,0,30,medium,0.68,0,none,0.0,,
772,2024-05-24,EU-East,home_appliance,4790.37,6.6,0,30,high,0.65,0,none,0.0,,
926,2024-09-21,EU-West,pet_care,12336.56,8.0,0,0,medium,0.85,0,none,0.0,,
799,2024-02-02,EU-North,home_appliance,19077.52,6.8,0,60,high,0.4,1,return,688.46,39.0,
1099,2025-04-03,EU-South,pet_care,14834.46,4.1,0,30,medium,0.52,0,none,0.0,,
1320,2025-03-06,EU-South,beauty,16308.18,3.4,0,90,low,0.14,0,none,0.0,,
929,2024-10-03,EU-East,beauty,9963.53,1.7,0,30,medium,0.47,0,none,0.0,,
355,2025-03-22,EU-East,home_appliance,19075.57,1.2,0,90,medium,0.64,0,none,0.0,,
700,2024-01-17,EU-West,home_appliance,10616.01,5.4,0,90,low,0.42,0,none,0.0,,
931,2024-08-12,EU-West,beauty,2939.31,0.2,1,60,low,0.0,1,freight_overrun,,114.0,
975,2024-05-17,EU-West,beauty,8928.9,3.5,0,30,medium,0.7,0,none,0.0,,
413,2025-03-23,EU-West,cleaning,11960.2,7.2,0,30,medium,0.7,0,none,0.0,,
417,2024-09-01,EU-West,cleaning,6465.48,5.2,0,0,low,0.63,0,none,0.0,,n/a
994,2024-01-14,EU-West,home_appliance,16170.53,3.7,0,60,medium,0.66,1,return,281.86,86.0,
839,2024-06-11,EU-East,beauty,12553.43,1.7,0,30,medium,0.33,0,none,0.0,,
260,2024-11-11,EU-East,home_appliance,50600.53,3.3,0,90,medium,0.57,0,none,0.0,,
882,2024-02-06,EU-North,home_appliance,8218.32,3.2,0,30,medium,0.51,0,none,0.0,,
1288,2025-03-29,EU-West,cleaning,5037.59,5.9,0,30,low,0.7,0,none,0.0,,
1189,2024-09-03,EU-West,beauty,17206.68,2.1,0,30,low,0.52,0,none,0.0,,
396,2025-06-04,EU-East,home_appliance,6396.32,0.6,1,30,high,0.33,1,return,,70.0,
21,2025-02-07,EU-North,cleaning,16732.43,4.3,0,30,low,0.31,0,none,0.0,,
340,2025-03-23,EU-South,cleaning,2957.95,3.3,0,30,medium,0.56,0,none,0.0,,
618,2024-06-12,EU-West,home_appliance,1491.19,3.0,0,0,low,0.5,0,none,0.0,,
286,2024-04-07,EU-East,home_appliance,5804.93,3.0,0,60,medium,0.55,0,none,0.0,,
364,2024-10-17,EU-West,home_appliance,6866.66,2.6,0,30,low,0.84,0,none,0.0,,
186,2024-10-09,EU-North,pet_care,6303.63,5.8,0,30,medium,0.66,0,none,0.0,,
1024,2025-02-13,,home_appliance,16840.97,2.6,0,60,high,0.37,0,none,0.0,,
1269,2024-01-01,EU-East,beauty,7921.86,2.9,0,60,medium,0.32,0,none,0.0,,
652,2024-10-29,EU-South,home_appliance,6921.69,5.5,0,30,low,0.61,0,none,0.0,,
400,2024-01-04,EU-East,cleaning,20868.16,0.9,1,30,low,0.05,0,none,0.0,,
217,2024-10-18,EU-West,home_appliance,2231.17,4.2,0,30,high,0.48,0,none,0.0,,
378,2024-06-20,EU-East,beauty,16716.8,4.9,0,30,low,0.71,0,none,0.0,,
1026,2024-03-17,EU-West,cleaning,14961.33,1.7,0,30,high,0.52,0,none,0.0,,
818,2025-01-29,EU-East,pet_care,8292.4,1.6,0,0,medium,0.84,0,none,0.0,,
699,2024-09-20,,home_appliance,6273.18,5.9,0,30,low,0.51,0,none,0.0,,
1338,2025-03-12,EU-East,beauty,5556.73,5.8,0,30,medium,0.77,0,none,0.0,,
1335,2024-12-07,EU-South,home_appliance,8846.66,3.0,0,30,medium,0.58,0,none,0.0,,
886,2024-07-09,EU-West,home_appliance,20670.28,6.0,0,0,medium,0.61,0,none,0.0,,
1265,2024-01-03,EU-East,beauty,11983.97,0.1,1,30,medium,0.31,1,freight_overrun,236.5,7.0,extra freight billed
1256,2024-05-29,EU-South,pet_care,6104.43,2.0,0,30,low,0.51,0,none,0.0,,
129,2025-02-20,EU-West,home_appliance,14144.73,3.8,0,30,low,0.74,0,none,0.0,,
769,2025-03-08,EU-West,home_appliance,8717.94,3.4,0,60,low,0.44,0,none,0.0,,
250,2024-06-02,EU-East,pet_care,30037.52,6.0,0,30,low,0.44,0,none,0.0,,
763,2025-06-01,EU-West,beauty,8345.94,0.8,1,0,medium,0.23,0,none,0.0,,
331,2024-08-04,EU-North,pet_care,42348.91,4.2,0,90,medium,0.37,0,none,0.0,,
922,2024-05-16,EU-South,home_appliance,9927.02,1.7,0,30,low,0.64,1,late_payment,223.39,58.0,paid 40 days late
740,2025-01-12,EU-East,pet_care,8467.79,9.9,0,0,medium,0.43,0,none,0.0,,
603,2024-06-22,EU-South,pet_care,7756.46,4.9,0,60,low,0.25,0,none,0.0,,
190,2024-10-25,EU-West,home_appliance,12013.35,2.9,0,90,low,0.55,0,none,0.0,,
351,2024-05-30,EU-North,cleaning,11024.29,5.7,0,60,low,0.21,0,none,0.0,,
290,2024-10-07,EU-West,beauty,3824.62,0.5,1,90,low,0.08,0,none,0.0,,
147,2025-05-29,EU-West,home_appliance,9883.85,3.8,0,0,low,0.55,0,none,0.0,,
329,2024-11-11,EU-North,home_appliance,11843.62,3.4,0,30,medium,0.31,0,none,0.0,,
415,2025-06-04,,pet_care,13265.86,7.2,0,0,low,0.86,0,none,0.0,,
928,2024-07-25,EU-South,home_appliance,3270.29,2.1,0,30,low,0.58,0,none,0.0,,
821,2024-04-05,EU-West,beauty,14866.11,2.0,0,60,medium,0.44,0,none,0.0,,
165,2024-07-29,EU-East,cleaning,20228.66,3.2,0,0,low,0.59,1,freight_overrun,603.35,57.0,container reweigh cost
370,2024-07-02,EU-South,pet_care,10853.67,5.4,0,30,low,0.46,0,none,0.0,,
109,2024-06-12,EU-West,home_appliance,6651.48,2.8,0,60,medium,0.49,0,none,0.0,,
295,2024-10-17,EU-South,cleaning,4185.35,7.1,0,30,low,0.81,0,none,0.0,,
1304,2024-04-25,EU-West,pet_care,8903.34,0.9,1,30,medium,0.43,1,dispute,1372.72,51.0,buyer disputes invoice
1011,2024-01-19,EU-North,cleaning,5950.04,2.2,0,60,low,0.34,0,none,0.0,,
778,2024-06-07,EU-West,pet_care,7997.35,0.6,1,30,high,0.28,0,none,0.0,,
1196,2024-07-21,EU-West,pet_care,21363.28,6.9,0,60,low,0.44,1,dispute,377.37,7.0,
565,2024-05-27,EU-North,cleaning,19102.88,10.0,0,30,medium,0.8,0,none,0.0,,
572,2025-02-20,EU-South,pet_care,7253.71,0.8,1,90,low,0.1,0,none,0.0,,
1307,2024-01-08,EU-East,pet_care,5045.03,2.6,0,60,low,0.5,1,return,935.96,90.0,goods sent back
1179,2024-06-22,EU-West,home_appliance,7931.08,3.2,0,90,high,0.28,1,dispute,1199.38,26.0,
949,2024-04-19,EU-South,home_appliance,4234.82,0.9,1,30,low,0.21,0,none,0.0,,
977,2025-06-12,EU-East,pet_care,5725.85,11.9,0,60,low,0.39,0,none,0.0,,
285,2025-06-02,EU-East,home_appliance,13112.87,4.1,0,60,medium,0.29,0,none,0.0,,
211,2024-04-23,EU-North,home_appliance,16452.3,6.6,0,30,low,0.75,0,none,0.0,,
128,2024-08-19,EU-West,beauty,4104.47,0.6,1,30,low,0.27,0,none,0.0,,
549,2024-10-19,EU-North,home_appliance,3822.98,0.4,1,60,high,0.24,1,freight_overrun,262.22,58.0,
1346,2025-05-08,EU-North,cleaning,7635.55,4.1,0,0,low,0.61,0,none,0.0,,
864,2024-03-01,,home_appliance,53769.62,5.0,0,30,medium,0.54,0,none,0.0,,
825,2025-03-31,,pet_care,4108.29,7.5,0,0,medium,0.56,1,dispute,1048.84,16.0,chargeback pending
732,2024-09-24,,cleaning,19062.54,2.1,0,60,low,0.28,0,none,0.0,,
547,2025-05-12,EU-West,home_appliance,5893.7,7.5,0,60,high,0.44,1,dispute,1348.18,115.0,quality complaint raised
1250,2024-04-15,EU-South,pet_care,13466.32,2.3,0,60,low,0.29,0,none,0.0,,
171,2024-05-25,EU-West,beauty,4275.34,6.2,0,60,medium,0.45,0,none,0.0,,
61,2025-06-04,,cleaning,14784.78,1.7,0,0,medium,0.48,0,none,0.0,,
485,2025-04-24,EU-West,home_appliance,3093.15,4.8,0,60,low,0.48,0,none,0.0,,
944,2024-08-14,EU-East,home_appliance,14662.94,1.6,0,90,medium,0.51,0,none,0.0,,
1039,2024-04-13,EU-East,beauty,5247.45,3.7,0,0,medium,0.77,0,none,0.0,,
395,2024-12-07,EU-West,pet_care,10262.82,7.5,0,30,low,0.36,0,none,0.0,,
873,2024-04-21,EU-South,cleaning,15546.31,2.0,0,60,low,0.61,0,none,0.0,,
309,2024-11-10,EU-West,pet_care,13900.95,2.7,0,60,medium,0.38,0,none,0.0,,
681,2025-01-04,,beauty,10890.23,3.4,0,0,medium,0.51,0,none,0.0,,
706,2025-01-19,EU-East,cleaning,7620.44,3.2,0,30,low,0.6,1,return,779.69,55.0,
1098,2024-10-28,EU-South,home_appliance,12055.38,3.6,0,30,medium,0.92,0,none,0.0,,
906,2024-04-02,EU-North,home_appliance,6290.61,2.7,0,0,high,0.53,0,none,0.0,,
1302,2024-01-30,EU-East,beauty,8763.64,10.4,0,60,low,0.35,0,none,0.0,,
325,2024-05-17,EU-South,beauty,55841.15,10.7,0,0,medium,0.71,0,none,0.0,,
1040,2024-04-24,EU-West,cleaning,13655.94,3.2,0,60,medium,0.15,0,none,0.0,,
688,2025-03-05,EU-South,home_appliance,12870.33,2.0,0,0,medium,0.7,0,none,0.0,,
319,2024-03-09,EU-West,cleaning,7264.94,3.8,0,0,high,0.7,0,none,0.0,,
575,2024-06-13,EU-South,home_appliance,8761.11,2.0,0,60,low,0.08,0,none,0.0,,
327,2024-01-22,EU-South,home_appliance,8078.44,5.5,0,30,low,0.58,0,none,0.0,,
761,2025-01-28,EU-North,beauty,8416.82,5.5,0,60,high,0.38,0,none,0.0,,
242,2024-02-24,EU-North,home_appliance,49501.83,7.9,0,0,medium,0.81,0,none,0.0,,
774,2024-04-22,,home_appliance,3730.57,1.9,0,30,low,0.5,0,none,0.0,,
643,2024-02-21,EU-West,cleaning,11592.36,0.7,1,30,low,0.52,0,none,0.0,,
284,2024-10-17,,home_appliance,28307.02,7.1,0,0,low,0.57,0,none,0.0,,
241,2024-05-07,EU-South,cleaning,6457.07,3.8,0,0,medium,0.75,0,none,0.0,,
1393,2024-08-04,EU-West,cleaning,20171.46,2.8,0,60,low,0.53,0,none,0.0,,
44,2024-03-11,EU-West,home_appliance,6230.75,20.9,0,90,medium,0.35,0,none,0.0,,
852,2024-08-27,EU-West,cleaning,6748.64,0.4,1,0,low,0.31,0,none,0.0,,
326,2024-01-23,EU-North,home_appliance,11151.79,5.3,0,0,low,0.61,0,none,0.0,,
656,2024-02-02,EU-West,beauty,4755.4,1.2,0,30,low,0.33,0,none,0.0,,
588,2024-04-12,EU-West,cleaning,12073.09,5.2,0,30,low,0.54,0,none,0.0,,
152,2024-06-18,EU-South,beauty,7842.32,6.0,0,60,low,0.26,0,none,0.0,,
229,2025-02-13,EU-North,home_appliance,26553.96,2.6,0,30,low,0.62,0,none,0.0,,
368,2024-06-15,EU-North,home_appliance,10211.41,2.1,0,30,high,0.66,1,freight_overrun,267.01,37.0,extra freight billed
863,2024-12-02,EU-North,beauty,19492.24,6.5,0,0,low,0.43,0,none,0.0,,
408,2024-04-30,EU-South,beauty,12843.95,4.4,0,60,medium,0.58,0,none,0.0,,
1369,2025-04-25,EU-West,pet_care,1820.69,7.0,0,30,high,0.51,0,none,0.0,,
1360,2025-03-04,EU-West,beauty,17542.79,3.3,0,30,low,0.37,0,none,0.0,,
1228,2025-04-26,EU-East,home_appliance,5636.93,6.0,0,60,low,0.44,0,none,0.0,,
153,2024-01-17,EU-West,home_appliance,5584.27,5.9,0,60,low,0.34,0,none,0.0,,
195,2024-07-15,EU-West,pet_care,22577.96,5.8,0,30,low,0.7,0,none,0.0,,
940,2025-03-30,EU-West,home_appliance,15177.79,1.4,0,30,low,0.63,0,none,0.0,,
475,2024-08-24,EU-West,pet_care,16202.22,7.7,0,60,medium,0.35,0,none,0.0,,
733,2024-08-28,EU-West,pet_care,3355.28,2.1,0,30,low,0.78,0,none,0.0,,
1296,2025-01-17,EU-West,home_appliance,15009.92,4.7,0,90,low,0.52,1,dispute,3227.01,47.0,chargeback pending
644,2024-02-29,EU-West,pet_care,12424.42,1.2,0,90,medium,0.61,0,none,0.0,,
69,2024-09-17,EU-West,cleaning,33133.25,1.0,0,90,low,0.58,0,none,0.0,,
397,2024-11-10,,beauty,6846.17,4.1,0,60,low,0.61,0,none,0.0,,
766,2025-01-11,EU-West,home_appliance,4301.25,5.8,0,30,medium,0.86,0,none,0.0,,
698,2024-09-10,EU-East,beauty,14304.67,3.5,0,60,medium,0.43,0,none,0.0,,
1122,2024-05-27,EU-West,beauty,13047.71,12.4,0,0,medium,0.72,0,none,0.0,,
870,2024-06-13,EU-West,pet_care,27657.64,7.5,0,90,low,0.5,1,return,905.12,76.0,
10,2024-04-24,EU-East,cleaning,7123.07,2.1,0,0,medium,0.77,1,late_payment,175.48,48.0,
1364,2024-05-30,EU-West,home_appliance,11155.15,3.3,0,30,medium,0.57,1,default,9942.92,45.0,account written off
1202,2024-08-17,EU-East,cleaning,27898.19,7.3,0,60,medium,0.42,0,none,0.0,,
508,2024-01-23,EU-South,home_appliance,12529.86,2.9,0,30,medium,0.47,0,none,0.0,,
907,2025-04-22,EU-East,beauty,8169.85,0.7,1,0,medium,0.17,1,freight_overrun,423.64,150.0,container reweigh cost
200,2025-01-06,EU-West,home_appliance,26772.72,8.6,0,0,low,0.66,0,none,0.0,,
1310,2024-08-01,EU-South,cleaning,6658.62,1.7,0,30,low,0.68,0,none,0.0,,
783,2024-04-22,EU-East,pet_care,5948.19,9.1,0,90,high,0.43,0,none,0.0,,
205,2025-01-02,EU-West,home_appliance,10067.97,5.5,0,30,medium,0.3,0,none,0.0,,
1144,2024-05-28,EU-South,home_appliance,26492.87,0.7,1,60,low,0.0,1,dispute,1959.82,140.0,chargeback pending
1017,2025-01-15,EU-North,home_appliance,8440.57,1.3,0,30,medium,0.65,0,none,0.0,,
1376,2025-05-16,EU-West,beauty,14515.69,2.4,0,60,low,0.62,1,dispute,1228.69,108.0,quality complaint raised
1235,2024-03-19,EU-West,beauty,11663.47,6.2,0,30,medium,0.62,0,none,0.0,,
519,2024-04-26,EU-West,beauty,6290.39,9.5,0,90,medium,0.36,1,return,688.93,55.0,buyer returned partial shipment
1281,2024-06-08,EU-West,pet_care,7905.5,2.2,0,30,high,0.73,0,none,0.0,,
1312,2024-05-10,EU-South,home_appliance,10329.0,2.3,0,30,medium,0.59,1,freight_overrun,514.81,110.0,extra freight billed
47,2024-06-27,EU-West,pet_care,12956.31,1.9,0,60,low,0.46,0,none,0.0,,
1400,2024-12-30,EU-West,cleaning,11397.63,0.9,1,90,low,0.19,0,none,0.0,,
28,2024-12-07,EU-West,home_appliance,6088.58,5.9,0,0,low,0.58,0,none,0.0,,
964,2024-07-30,EU-West,pet_care,5302.48,5.2,0,0,low,0.52,0,none,0.0,,
393,2024-01-21,EU-East,home_appliance,15802.01,1.7,0,60,high,0.62,0,none,0.0,,
1213,2025-03-23,EU-East,beauty,5949.75,5.2,0,30,high,0.46,0,none,0.0,,
352,2024-05-28,EU-West,home_appliance,19508.14,2.3,0,30,low,0.66,0,none,0.0,,
474,2024-11-26,EU-West,pet_care,9479.99,11.1,0,0,medium,0.43,0,none,0.0,,
1029,2025-06-08,EU-North,cleaning,18907.04,6.7,0,0,low,0.32,0,none,0.0,,
921,2025-02-03,EU-West,home_appliance,5245.6,11.1,0,30,medium,0.9,0,none,0.0,,
208,2024-11-07,EU-North,home_appliance,11602.94,3.4,0,60,low,0.43,0,none,0.0,,
1325,2024-09-03,EU-West,home_appliance,6270.1,1.2,0,30,medium,0.78,0,none,0.0,,
110,2024-04-01,EU-South,cleaning,6408.79,3.6,0,30,low,0.71,0,none,0.0,,
1371,2024-02-28,EU-West,home_appliance,27670.85,3.0,0,60,low,0.53,0,none,0.0,,
254,2024-01-21,EU-West,home_appliance,30920.69,0.7,1,60,low,0.21,1,freight_overrun,464.7,41.0,extra freight billed
123,2024-03-07,EU-West,pet_care,3540.25,2.3,0,0,medium,0.76,0,none,0.0,,
187,2024-01-13,EU-West,home_appliance,6164.9,9.4,0,90,low,0.65,0,none,0.0,,buyer queried ETA
314,2025-06-19,EU-West,pet_care,5146.3,6.1,0,30,medium,0.7,0,none,0.0,,
574,2024-09-04,EU-North,beauty,15573.56,6.1,0,30,low,0.61,0,none,0.0,,
599,2024-03-29,EU-South,pet_care,8326.71,5.5,0,30,low,0.84,0,none,0.0,,
264,2024-08-26,EU-West,home_appliance,16016.66,6.6,0,30,medium,0.39,0,none,0.0,,
1015,2024-12-22,EU-West,beauty,8737.94,10.3,0,0,medium,0.71,1,dispute,1000.61,65.0,
512,2024-03-27,EU-South,home_appliance,11272.08,3.3,0,30,low,0.52,0,none,0.0,,
998,2025-02-06,EU-West,home_appliance,7242.03,11.6,0,30,medium,0.62,1,freight_overrun,354.13,28.0,
458,2025-01-01,EU-East,home_appliance,20764.23,1.6,0,0,medium,0.31,0,none,0.0,,
276,2024-02-07,EU-West,pet_care,10754.34,4.1,0,0,medium,0.56,0,none,0.0,,
1050,2024-08-19,EU-West,beauty,10196.87,3.4,0,0,medium,0.59,0,none,0.0,,
68,2025-03-26,,home_appliance,10679.61,7.3,0,0,low,0.73,1,late_payment,319.64,99.0,
598,2024-05-24,EU-North,home_appliance,8127.76,0.4,1,0,low,0.25,0,none,0.0,,
1106,2024-10-14,EU-North,home_appliance,36146.1,7.7,0,0,low,0.71,0,none,0.0,,
1191,2024-12-24,EU-East,cleaning,3626.58,1.9,0,30,low,0.45,0,none,0.0,,
505,2024-10-05,EU-East,cleaning,11868.93,2.1,0,30,low,0.68,0,none,0.0,,
1336,2024-04-09,EU-South,beauty,26665.88,5.4,0,60,low,0.38,0,none,0.0,,
1275,2024-10-22,EU-West,beauty,16008.38,0.9,1,30,low,0.1,0,none,0.0,,
468,2025-02-22,EU-South,home_appliance,7785.43,1.3,0,90,low,0.37,0,none,0.0,,
432,2024-06-10,EU-North,pet_care,4307.56,2.2,0,90,low,0.35,1,dispute,,17.0,chargeback pending
